title,date
"The Umbrella Academy: Season 2: The Swedish Job","12/13/20"
"The Umbrella Academy: Season 2: The Frankel Footage","12/13/20"
"The Umbrella Academy: Season 2: Right Back Where We Started","12/13/20"
"The Umbrella Academy: Season 1: The White Violin","12/13/20"
"The Umbrella Academy: Season 1: Changes","12/13/20"
"The Umbrella Academy: Season 1: I Heard a Rumor","12/13/20"
"The Umbrella Academy: Season 1: The Day That Was","12/13/20"
"The Umbrella Academy: Season 1: The Day That Wasn't","12/12/20"
"The Umbrella Academy: Season 1: Number Five","12/12/20"
"The Umbrella Academy: Season 1: Man on the Moon","12/12/20"
"The Umbrella Academy: Season 1: Extra Ordinary","12/11/20"
"The Umbrella Academy: Season 1: Run Boy Run","12/10/20"
"The Umbrella Academy: Season 1: We Only See Each Other at Weddings and Funerals","12/9/20"
"The Last Shaman","11/29/20"
"The Discovery","11/28/20"
"Silver Linings Playbook","11/26/20"
"I'm Thinking of Ending Things","11/26/20"
"Hillbilly Elegy","11/24/20"
"Abducted in Plain Sight","11/23/20"
"The Queen's Gambit: Limited Series: End Game","11/13/20"
"The Queen's Gambit: Limited Series: Adjournment","11/13/20"
"The Queen's Gambit: Limited Series: Openings","11/8/20"
"The End of Evangelion","11/6/20"
"The Queen's Gambit: Limited Series: Fork","11/5/20"
"The Queen's Gambit: Limited Series: Middle Game","11/5/20"
"The Queen's Gambit: Limited Series: Doubled Pawns","11/5/20"
"The Queen's Gambit: Limited Series: Exchanges","11/5/20"
"The Haunting of Bly Manor: The Way It Came","10/28/20"
"The Haunting of Bly Manor: The Great Good Place","10/28/20"
"The Haunting of Bly Manor: The Beast in the Jungle","10/27/20"
"The Haunting of Bly Manor: The Romance of Certain Old Clothes","10/27/20"
"The Haunting of Bly Manor: The Two Faces, Part Two","10/27/20"
"The Haunting of Bly Manor: The Jolly Corner","10/27/20"
"The Haunting of Bly Manor: The Altar of the Dead","10/27/20"
"The Haunting of Bly Manor: The Two Faces, Part One","10/26/20"
"The Haunting of Bly Manor: The Pupil","10/26/20"
"The Legend of Korra: Book Four: Balance: The Last Stand","9/26/20"
"The Legend of Korra: Book Four: Balance: Day of the Colossus","9/26/20"
"The Legend of Korra: Book Four: Balance: Kuvira's Gambit","9/26/20"
"The Legend of Korra: Book Four: Balance: Operation: Beifong","9/26/20"
"The Legend of Korra: Book Four: Balance: Beyond the Wilds","9/26/20"
"The Legend of Korra: Book Four: Balance: Remembrances","9/26/20"
"The Legend of Korra: Book Four: Balance: Reunion","9/25/20"
"The Legend of Korra: Book Four: Balance: The Battle of Zaofu","9/25/20"
"The Legend of Korra: Book Four: Balance: Enemy at the Gates","9/25/20"
"The Legend of Korra: Book Four: Balance: The Calling","9/25/20"
"The Legend of Korra: Book Four: Balance: The Coronation","9/25/20"
"The Legend of Korra: Book Four: Balance: Korra Alone","9/25/20"
"The Legend of Korra: Book Four: Balance: After All These Years","9/24/20"
"The Legend of Korra: Book Three: Change: Venom of the Red Lotus","9/24/20"
"The Legend of Korra: Book Three: Change: Enter the Void","9/24/20"
"The Legend of Korra: Book Three: Change: The Ultimatum","9/24/20"
"The Legend of Korra: Book Three: Change: Long Live the Queen","9/24/20"
"The Legend of Korra: Book Three: Change: The Stakeout","9/24/20"
"The Legend of Korra: Book Three: Change: The Terror Within","9/24/20"
"The Legend of Korra: Book Three: Change: Original Airbenders","9/24/20"
"The Legend of Korra: Book Three: Change: Old Wounds","9/24/20"
"The Legend of Korra: Book Three: Change: The Metal Clan","9/24/20"
"The Legend of Korra: Book Three: Change: In Harm's Way","9/23/20"
"The Legend of Korra: Book Three: Change: The Earth Queen","9/23/20"
"The Legend of Korra: Book Three: Change: Rebirth","9/23/20"
"The Legend of Korra: Book Three: Change: A Breath of Fresh Air","9/23/20"
"The Legend of Korra: Book Two: Spirits: Light in the Dark","9/23/20"
"The Legend of Korra: Book Two: Spirits: Darkness Falls","9/23/20"
"The Legend of Korra: Book Two: Spirits: Harmonic Convergence","9/23/20"
"The Legend of Korra: Book Two: Spirits: Night of a Thousand Stars","9/22/20"
"The Legend of Korra: Book Two: Spirits: A New Spiritual Age","9/22/20"
"The Legend of Korra: Book Two: Spirits: The Guide","9/22/20"
"The Legend of Korra: Book Two: Spirits: Beginnings: Part 2","9/22/20"
"The Legend of Korra: Book Two: Spirits: Beginnings: Part 1","9/22/20"
"The Legend of Korra: Book Two: Spirits: The Sting","9/22/20"
"The Legend of Korra: Book Two: Spirits: Peacekeepers","9/22/20"
"The Legend of Korra: Book Two: Spirits: Civil Wars: Part 2","9/21/20"
"The Legend of Korra: Book Two: Spirits: Civil Wars: Part 1","9/21/20"
"The Legend of Korra: Book Two: Spirits: The Southern Lights","9/20/20"
"The Legend of Korra: Book Two: Spirits: Rebel Spirit","9/19/20"
"The Legend of Korra: Book One: Air: Endgame","9/18/20"
"The Legend of Korra: Book One: Air: Skeletons in the Closet","9/18/20"
"Avatar: The Last Airbender: Book 3: Sozin's Comet","9/17/20"
"The Legend of Korra: Book One: Air: Turning the Tides","9/17/20"
"The Legend of Korra: Book One: Air: Out of the Past","9/17/20"
"The Legend of Korra: Book One: Air: When Extremes Meet","9/16/20"
